size,Triton (GB/s),Torch (GB/s)
4096.000000,12.000000,12.000000
8192.000000,24.000000,24.000000
16384.000000,48.000000,48.000000
32768.000000,96.000000,96.000000
65536.000000,157.538460,153.600004
131072.000000,262.844923,255.999991
262144.000000,438.857137,384.000001
524288.000000,558.545450,558.545450
1048576.000000,655.359969,682.666643
2097152.000000,744.727267,744.727267
4194304.000000,780.190482,780.190482
8388608.000000,805.770507,805.770507
